t,v_mps,v_kph,acc_mps2,P_req_shaft_W,P_brake_avail_shaft_W,P_engine_mech_W,P_motor_mech_W,P_batt_W,SOC,engine_on,fuel_total_L
261.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,0.0,2985.493911030596,3245.1020772071693,0.4273309752236599,False,0.0
262.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,0.0,2985.493911030596,3245.1020772071693,0.4260658282150021,False,0.0
263.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,0.0,2985.493911030596,3245.1020772071693,0.42480068120634434,False,0.0
264.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,0.0,2985.493911030596,3245.1020772071693,0.4235355341976866,False,0.0
265.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,0.0,2985.493911030596,3245.1020772071693,0.4222703871890288,False,0.0
266.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,0.0,2985.493911030596,3245.1020772071693,0.421005240180371,False,0.0
267.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,0.0,2985.493911030596,3245.1020772071693,0.41974009317171324,False,0.0
268.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.00026715829181481844
269.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.0005343165836296369
270.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.0008014748754444554
271.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.0010686331672592737
272.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.0013357914590740921
273.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.0016029497508889105
274.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.0018701080427037289
275.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.0021372663345185475
276.0,13.88888888888889,50.0,0.0,2985.493911030596,0.0,2985.493911030596,0.0,0.0,0.41974009317171324,True,0.002404424626333366
